question_number,category,clue,gold_answer,predicted_title,top_score,correct_at_1,reciprocal_rank_top_10,top_10_titles
1,NEWSPAPERS,"The dominant paper in our nation's capital, it's among the top 10 U.S. papers in circulation",The Washington Post,Righteous Among the Nations,63.2964,False,0.0,Righteous Among the Nations | List of newspapers in Hong Kong | Morning Star (British newspaper) | National Capital Commission | 1999 RTHK Top 10 Gold Songs Awards | History of British newspapers | 2000 RTHK Top 10 Gold Songs Awards | 2001 RTHK Top 10 Gold Songs Awards | 2002 RTHK Top 10 Gold Songs Awards | 2003 RTHK Top 10 Gold Songs Awards
2,OLD YEAR'S RESOLUTIONS,The practice of pre-authorizing presidential use of force dates to a 1955 resolution re: this island near mainland China,Taiwan,United Nations General Assembly Resolution 505,68.4004,False,0.0,"United Nations General Assembly Resolution 505 | Republic of China presidential election, 2004 | Republic of China presidential election, 1996 | History of the Republic of China | One-China policy | Kinmen | Demographics of China | 1955 in film | United States presidential election in Rhode Island, 1964 | Lower Mainland"
3,NEWSPAPERS,Daniel Hertzberg & James B. Stewart of this paper shared a 1988 Pulitzer for their stories about insider trading,The Wall Street Journal,The Wall Street Journal,63.1813,True,1.0,The Wall Street Journal | The Hutchinson News | Epigram (newspaper) | The Atlanta Journal-Constitution | Pulitzer Prize for Drama | James Stewart | Secret sharing | The Phoenix (newspaper) | History of British newspapers | The Baltimore Sun
4,BROADWAY LYRICS,"Song that says, ""you make me smile with my heart; your looks are laughable, unphotographable""",My Funny Valentine,"Bess, You Is My Woman Now",66.852,False,0.1,"Bess, You Is My Woman Now | Goodness Gracious Me (song) | A Brisk Young Sailor Courted Me | Papa, Can You Hear Me? | Peg o' My Heart | Take Me to Your Heart (Bananarama song) | I Could Have Danced All Night | Lyrics | Can'tcha Say (You Believe in Me) | My Funny Valentine"
5,POTPOURRI,In 2011 bell ringers for this charity started accepting digital donations to its red kettle,The Salvation Army|Salvation Army,Donation,69.2177,False,0.5,Donation | The Salvation Army | Bell Internet | Bell-Northern Research | Bona Vista (charity) | Digital dictation | Change ringing | Digital radio | Samaritans (charity) | Bell Canada
6,STATE OF THE ART MUSEUM (Alex: We'll give you the museum. You give us the state.),The Naples Museum of Art,Florida,Art museum,65.1233,False,0.0,"Art museum | Wichita Art Museum | Museum of Contemporary Art, Chicago | Maryhill Museum of Art | Metropolitan Museum of Art | Appleton Museum of Art | Utah Museum of Fine Arts | Cape Cod Museum of Art | Museum of Modern Art | Whitney Museum of American Art"
7,"""TIN"" MEN","This Italian painter depicted the ""Adoration of the Golden Calf""",Tintoretto,Master of the Khanenko Adoration,50.2171,False,0.0,Master of the Khanenko Adoration | Mario Acerbi (painter) | Manfredini family of painters (Cremona) | Nicola Cianfanelli | Giovanni Conti (painter) | Kam Tin | Sha Tin District | Huanuni tin mine | 2009–10 Kent State Golden Flashes men's basketball team | Themes in Italian Renaissance painting
8,UCLA CELEBRITY ALUMNI,This woman who won consecutive heptathlons at the Olympics went to UCLA on a basketball scholarship,Jackie Joyner-Kersee,List of Olympic medalists in basketball,76.7192,False,0.5,"List of Olympic medalists in basketball | Jackie Joyner-Kersee | Basketball at the 1936 Summer Olympics | Robert Robinson (basketball) | Jacques Perrier (basketball) | Ruy de Freitas | Basketball at the 2012 Summer Olympics – Men's qualification | George Wilson (basketball, born 1942) | Basketball at the 2000 Summer Olympics | Algodão"
9,SERVICE ORGANIZATIONS,Originally this club's emblem was a wagon wheel; now it's a gearwheel with 24 cogs & 6 spokes,Rotary International,Service club,67.8093,False,0.0,Service club | Emblem of Angola | Wheel | Lions Clubs International | Spoke | Club | SCOA-P wheel | National Emblem of Bangladesh | Chevrolet Celebrity | List of Australian floral emblems
10,AFRICAN CITIES,"Several bridges, including El Tahrir, cross the Nile in this capital",Cairo,Nile,64.7945,False,0.5,"Nile | Cairo | Khartoum | City Island Bridge | Blue Nile | List of crossings of the River Wear | Anshun Bridge | Star City Bridge | Kosti, Sudan | List of capitals in Pakistan"
11,HISTORICAL QUOTES,"After the fall of France in 1940, this general told his country, ""France has lost a battle. But France has not lost the war""",Charles de Gaulle|de Gaulle,Lost Generation,82.7058,False,0.0,Lost Generation | Fall Rot | Anglo-French Supreme War Council | Battle of Leipzig | Battle of the Ardennes | Battle of Borodino | Battle of Lundy's Lane | Battle of Britain | Battle of Passchendaele | Battle of Stoney Creek
12,STATE OF THE ART MUSEUM (Alex: We'll give you the museum. You give us the state.),The Taft Museum of Art,Ohio,Art museum,65.1233,False,0.0,"Art museum | Wichita Art Museum | Museum of Contemporary Art, Chicago | Maryhill Museum of Art | Metropolitan Museum of Art | Appleton Museum of Art | Utah Museum of Fine Arts | Museum of Modern Art | Whitney Museum of American Art | Cape Cod Museum of Art"
